# DropOut from TUe,# Intake 1st Year StudyProgram,% DropOut 1st Year StudyProgram,Cohort year
4,231,1.7 %,2014/2015
8,288,2.8 %,2015/2016
17,423,4.0 %,2016/2017
7,428,1.6 %,2017/2018
4,283,1.4 %,2018/2019
13,324,4.0 %,2019/2020
