# DropOut from TUe,# Intake 1st Year StudyProgram,% DropOut 1st Year StudyProgram,Cohort year
6,231,2.6 %,2014/2015
5,288,1.7 %,2015/2016
6,423,1.4 %,2016/2017
6,428,1.4 %,2017/2018
