# DropOut from TUe,# Intake 1st Year StudyProgram,% DropOut 1st Year StudyProgram,Cohort year
59,231,25.5 %,2014/2015
63,288,21.9 %,2015/2016
97,423,22.9 %,2016/2017
107,428,25.0 %,2017/2018
84,283,29.7 %,2018/2019
54,324,16.7 %,2019/2020
56,339,16.5 %,2020/2021
69,413,16.7 %,2021/2022
