# DropOut from TUe,# Intake 1st Year StudyProgram,% DropOut 1st Year StudyProgram,Cohort year
11,231,4.8 %,2014/2015
7,288,2.4 %,2015/2016
8,423,1.9 %,2016/2017
9,428,2.1 %,2017/2018
7,283,2.5 %,2018/2019
16,324,4.9 %,2019/2020
13,339,3.8 %,2020/2021
